,static_text,log_level,project,log_level_encoded
3,Ignoring invalid region for server  | ; cell=,error,HBase,0
5,Added * regions to meta.,info,HBase,1
6,Updated * in hbase:meta,info,HBase,1
7,Deleted table  |  state from META,info,HBase,1
8,Updated row * with server=,info,HBase,1
9,Deleted ,info,HBase,1
10,Deleted * regions from META,info,HBase,1
12,Overwritten  |  regions to Meta,info,HBase,1
14,"Deleted merge references in  | , deleted qualifiers  | , ",info,HBase,1
19,Ignoring invalid region for server  | ; cell=,error,HBase,0
21,"TimeRange failed, likely caused by integer overflow. ",error,HBase,0
25,", ",error,HBase,0
31,"Skipping flush region, because the located region  |  is different than  |  requested region ",info,HBase,1
33,Got exception making request  |  to ,info,HBase,1
34,"Scanner= |  expired, current region location is ",info,HBase,1
35,Failed to relocate region,info,HBase,1
36,"Scanner= |  has received an exception, and the server  | asked us to reset the scanner state.",info,HBase,1
37,Took  | ms to fetch  |  rows from scanner=,info,HBase,1
39,Open scanner= |  for scan= |  on region ,info,HBase,1
41, been failing for a long time. clearing out.,error,HBase,0
43,Clearing out PFFE for server ,info,HBase,1
46,$$$Empty Message$$$,info,HBase,1
49,There is a new dead server: ,info,HBase,1
50,"Unexpected exception, continuing.",error,HBase,0
53,"No regions were selected by key range start= | , end=",info,HBase,1
54,Left over  |  task(s) are processed on server(s): ,info,HBase,1
55,Regions against which left over task(s) are processed: ,info,HBase,1
69,$$$Empty Message$$$,info,HBase,1
70,Master connection is not running anymore,info,HBase,1
72,Closing master protocol: ,info,HBase,1
75,$$$Empty Message$$$,error,HBase,0
76,$$$Empty Message$$$,error,HBase,0
80,$$$Empty Message$$$,error,HBase,0
81,Exception occurred! Exception details:  | ;\nActions: ,error,HBase,0
84,Imposible? Arrive at an unreachable line...,error,HBase,0
87, server-side Connection retries=,info,HBase,1
89,cannot determine my address,error,HBase,0
101,Failed to get region location ,error,HBase,0
103,Exception during timerCallbackForWriteBufferPeriodicFlush --> ,error,HBase,0
107,Imposible? Arrive at an unreachable line...,error,HBase,0
112,Server  |  sent us neither result nor exception for row ' | ' of ,error,HBase,0
119,Taking restore-failsafe snapshot: ,info,HBase,1
120, completed,info,HBase,1
121, failed with ,info,HBase,1
122, completed,info,HBase,1
123, failed with ,info,HBase,1
124, completed,info,HBase,1
125, failed with ,info,HBase,1
135,Failed to delete table ,info,HBase,1
136,Started truncating ,info,HBase,1
137,Started enable of ,info,HBase,1
138,Failed to enable table ,info,HBase,1
139,Started disable of ,info,HBase,1
140,Failed to disable table ,info,HBase,1
141,Table is disabled: ,info,HBase,1
148,Taking restore-failsafe snapshot: ,info,HBase,1
149,$$$Empty Message$$$,error,HBase,0
150,$$$Empty Message$$$,error,HBase,0
151,Deleting restore-failsafe snapshot: ,info,HBase,1
152,Unable to remove the failsafe snapshot: ,error,HBase,0
156,Failed to delete snapshot  |  for table ,info,HBase,1
158,Failed to delete snapshot: ,error,HBase,0
167, completed,info,HBase,1
168, failed with ,info,HBase,1
175,"TimeRange failed, likely caused by integer overflow. ",error,HBase,0
188,Replica thread interrupted - no replica calls *,error,HBase,0
190,"id= | , caught throwable. Unexpected. |  Retrying. Server= | , tableName=",error,HBase,0
191,id= |  error for  |  processing ,error,HBase,0
192,$$$Empty Message$$$,error,HBase,0
196,$$$Empty Message$$$,info,HBase,1
199,$$$Empty Message$$$,info,HBase,1
200,"Server sent us neither results nor exceptions for  | , numAttempt:",error,HBase,0
201,Couldn't update cached region locations: ,error,HBase,0
202,"User callback threw an exception for  | , ignoring",error,HBase,0
203,"# | , waiting for  |   actions to finish on table: ",info,HBase,1
213,incorrect format:,info,HBase,1
215,invalid charset,error,HBase,0
216,Registering new filter ,info,HBase,1
222,Retrying connect to server:  |  after sleeping  | ms. Already tried  |  time(s).,info,HBase,1
228,$$$Empty Message$$$,error,HBase,0
232,"Can't get the connection header response for rpc timeout, please check if server has the correct configuration to support the additional function.",error,HBase,0
243,The server on  |  is dead - stopping the connection ,info,HBase,1
259,Error disposing of SASL client,error,HBase,0
260,Error disposing of SASL server,error,HBase,0
279,Ignoring unknown action code ' | ',error,HBase,0
280,Ignoring unknown action code '*',error,HBase,0
283,$$$Empty Message$$$,error,HBase,0
284,Exception while reading cells from result.Resetting the scanner to scan again.,error,HBase,0
293,"Unexpected getShortMidpointKey result, fakeKey: | , firstKeyInBlock:",error,HBase,0
294,"Unexpected getShortMidpointKey result, lastKeyOfPreviousBlock: | , fakeKey:",error,HBase,0
302,Chore:  |  missed its start time,info,HBase,1
303,Chore:  |  was stopped,info,HBase,1
304,Caught error,error,HBase,0
306,"Error while trying to login as user * through *, with message: *.hbase.client.keytab.principalhbase.client.keytab.file",error,HBase,0
307,Error resolving host name: ,error,HBase,0
308,Error while trying to perform the initial login: ,error,HBase,0
309,Got exception while trying to refresh credentials: ,error,HBase,0
310,Could not successfully schedule chore: ,info,HBase,1
311,Chore service for:  |  had  |  on shutdown,info,HBase,1
337,Created with bufferSize=* and maxPoolSize=*,info,HBase,1
339,Pool already reached its max capacity :  |  and no free buffers now. Consider increasing the value for ' | ' ?,info,HBase,1
355,SpanReceiver  |  was loaded successfully.,info,HBase,1
360,Tool configuration is not initialized,error,HBase,0
361,$$$Empty Message$$$,error,HBase,0
362,Use -h or --help for usage instructions.,error,HBase,0
363,Error when parsing command-line arguments,error,HBase,0
364,Use -h or --help for usage instructions.,error,HBase,0
365,Error running command-line tool,error,HBase,0
366,Error running command-line tool,error,HBase,0
