index,log_messages,log_level,label,lemmas,pos,tag,dep,alpha,stop
7118,opening * *,info,0.0,open * *,VERB PUNCT PUNCT,VBG NFP NFP,ROOT punct punct,1,0
7133,initializing * *,info,0.0,initialize * *,VERB PUNCT PUNCT,VBG NFP NFP,ROOT punct punct,1,0
7611,moved * *,info,0.0,move * *,VERB PUNCT PUNCT,VBN NFP NFP,ROOT punct punct,1,0
7801,renamed * *,info,0.0,rename * *,VERB PUNCT PUNCT,VBN NFP NFP,ROOT punct punct,1,0
8392,bypassed * *,info,0.0,bypass * *,VERB PUNCT PUNCT,VBN NFP NFP,ROOT punct punct,1,0
8402,moving * *,info,0.0,move * *,VERB PUNCT PUNCT,VBG NFP NFP,ROOT punct punct,1,0
8825,opening * *,info,0.0,open * *,VERB PUNCT PUNCT,VBG NFP NFP,ROOT punct punct,1,0
8826,stored * *,info,0.0,store * *,VERB PUNCT PUNCT,VBN NFP NFP,ROOT punct punct,1,0
9003,started * *,info,0.0,start * *,VERB PUNCT PUNCT,VBD NFP NFP,ROOT punct punct,1,0
9062,downloading * *,info,0.0,download * *,VERB PUNCT PUNCT,VBG NFP NFP,ROOT punct punct,1,0
9389,initialized * *,info,0.0,initialize * *,VERB PUNCT PUNCT,VBN NFP NFP,ROOT punct punct,1,0
9757,setting * *,info,0.0,set * *,VERB PUNCT PUNCT,VBG NFP NFP,ROOT punct punct,1,0
10068,deleting * *,info,0.0,delete * *,VERB PUNCT PUNCT,VBG NFP NFP,ROOT punct punct,1,0
10588,delete * *,info,0.0,delete * *,VERB PUNCT PUNCT,VB NFP NFP,ROOT punct punct,1,0
1595,cannot unregister task *,error,0.0,can not unregister task *,AUX PART VERB NOUN PUNCT,RB RB VB NN NFP,aux neg ROOT dobj punct,4,2
1618,cannot write document *,error,0.0,can not write document *,AUX PART VERB NOUN PUNCT,MD RB VB NN NFP,aux neg ROOT dobj punct,4,2
1619,cannot write document *,error,0.0,can not write document *,AUX PART VERB NOUN PUNCT,MD RB VB NN NFP,aux neg ROOT dobj punct,4,2
2214,could not find class *,error,0.0,could not find class *,AUX PART VERB NOUN PUNCT,MD RB VB NN NFP,aux neg ROOT dobj punct,4,2
2460,cannot create copy *,error,0.0,can not create copy *,AUX PART VERB NOUN PUNCT,RB RB VB NN NFP,aux neg ROOT dobj punct,4,2
2492,could not instantiate customizer *,error,0.0,could not instantiate customizer *,AUX PART VERB NOUN PUNCT,MD RB VB NN NFP,aux neg ROOT dobj punct,4,2
2685,could not fail task *,error,0.0,could not fail task *,AUX PART VERB NOUN PUNCT,MD RB VB NN NFP,aux neg ROOT dobj punct,4,2
2078,master not running,error,0.0,master not run,NOUN PART VERB,NN RB VBG,nsubj neg ROOT,3,1
2417,class not found,error,0.0,class not find,NOUN PART VERB,NN RB VBN,nsubj neg ROOT,3,1
2504,beanshell not found,error,0.0,beanshell not find,NOUN PART VERB,NN RB VBN,nsubj neg ROOT,3,1
7431,row not deleted,info,0.0,row not delete,NOUN PART VERB,NN RB VBN,nsubj neg ROOT,3,1
8247,version not deleted,info,0.0,version not delete,NOUN PART VERB,NN RB VBN,nsubj neg ROOT,3,1
8248,rows not deleted,info,0.0,row not delete,NOUN PART VERB,NNS RB VBN,nsubj neg ROOT,3,1
1838,couldn instantiate filter,error,0.0,couldn instantiate filter,AUX VERB NOUN,MD VB NN,aux ROOT dobj,3,0
1917,couldn locate log,error,0.0,couldn locate log,AUX VERB NOUN,MD VB NN,aux ROOT dobj,3,0
2231,couldn finish setup,error,0.0,couldn finish setup,AUX VERB NOUN,MD VB NN,aux ROOT dobj,3,0
2235,couldn establish connection,error,0.0,couldn establish connection,AUX VERB NOUN,RB VB NN,aux ROOT dobj,3,0
2426,can instantiate beanshell,error,0.0,can instantiate beanshell,AUX VERB NOUN,MD VB NN,aux ROOT dobj,3,1
2453,couldn unmarshall testelementproperty,error,0.0,couldn unmarshall testelementproperty,AUX VERB NOUN,MD VB NN,aux ROOT dobj,3,0
2458,couldn clone collection,error,0.0,couldn clone collection,AUX VERB NOUN,MD VB NN,cc nmod ROOT,3,0
2462,couldn clone map,error,0.0,couldn clone map,AUX VERB NOUN,MD VB NN,aux nmod ROOT,3,0
2513,couldn send mail,error,0.0,couldn send mail,AUX VERB NOUN,MD VB NN,aux ROOT dobj,3,0
2537,can create provider,error,0.0,can create provider,AUX VERB NOUN,MD VB NN,aux ROOT dobj,3,1
1725,failed cleaning,error,1.0,fail cleaning,VERB NOUN,VBN NN,ROOT dobj,2,0
1750,stopping gossiper,error,1.0,stop gossiper,VERB NOUN,VBG NN,ROOT dobj,2,0
1851,deleting folder,error,1.0,delete folder,VERB NOUN,VBG NN,amod ROOT,2,0
1882,caught exception,error,1.0,catch exception,VERB NOUN,VBN NN,amod ROOT,2,0
1886,caught error,error,1.0,catch error,VERB NOUN,VBN NN,amod ROOT,2,0
1922,exiting thread,error,1.0,exit thread,VERB NOUN,VBG NN,amod ROOT,2,0
1974,failed closing,error,1.0,fail closing,VERB NOUN,VBN NN,amod ROOT,2,0
2000,failed writing,error,1.0,fail writing,VERB NOUN,VBN NN,amod ROOT,2,0
2033,failed run,error,1.0,fail run,VERB NOUN,VBN NN,amod ROOT,2,0
2080,got ioexception,error,1.0,got ioexception,VERB NOUN,VBP NN,ROOT dobj,2,0
2090,failed balance,error,1.0,fail balance,VERB NOUN,VBN NN,amod ROOT,2,0
2111,removing coprocessor,error,1.0,remove coprocessor,VERB NOUN,VBG NN,ROOT dobj,2,0
2144,interrupted exception,error,1.0,interrupt exception,VERB NOUN,VBN NN,amod ROOT,2,0
2165,failed tailing,error,1.0,fail tailing,VERB NOUN,VBN NN,amod ROOT,2,0
2184,failed kill,error,1.0,fail kill,VERB NOUN,VBN NN,amod ROOT,2,0
2241,exporting snapshot,error,1.0,export snapshot,VERB NOUN,VBG NN,amod ROOT,2,0
2244,delete backupidinc2,error,1.0,delete backupidinc2,VERB NOUN,VB NN,ROOT dobj,1,0
2255,getting attribute,error,1.0,get attribute,VERB NOUN,VBG NN,ROOT dobj,2,0
2256,getting attribute,error,1.0,get attribute,VERB NOUN,VBG NN,ROOT dobj,2,0
2358,testended host,error,1.0,testende host,VERB NOUN,VBN NN,amod ROOT,2,0
2373,returning sample,error,1.0,return sample,VERB NOUN,VBG NN,amod ROOT,2,0
2495,failed gettext,error,1.0,fail gettext,VERB NOUN,VBN NN,amod ROOT,2,0
2594,caught exception,error,1.0,catch exception,VERB NOUN,VBN NN,amod ROOT,2,0
7022,adding block,info,1.0,add block,VERB NOUN,VBG NN,compound ROOT,2,0
7105,announcing shutdown,info,1.0,announce shutdown,VERB NOUN,VBG NN,ROOT dobj,2,0
7191,initializing cipherfactory,info,1.0,initialize cipherfactory,VERB NOUN,VBG NN,ROOT dobj,2,0
7291,using noreplicationtokenallocator,info,1.0,use noreplicationtokenallocator,VERB NOUN,VBG NN,ROOT dobj,2,1
7292,using replicationawaretokenallocator,info,1.0,use replicationawaretokenallocator,VERB NOUN,VBG NN,ROOT dobj,2,1
7305,generated query,info,1.0,generate query,VERB NOUN,VBN NN,amod ROOT,2,0
7391,seeking start,info,1.0,seek start,VERB NOUN,VBG NN,ROOT dobj,2,0
7396,using buffersize,info,1.0,use buffersize,VERB NOUN,VBG NN,ROOT dobj,2,1
7397,skip copy,info,1.0,skip copy,VERB NOUN,VB NN,ROOT dobj,2,0
7399,added labels,info,1.0,add label,VERB NOUN,VBN NNS,amod ROOT,2,0
7406,closed wal,info,1.0,close wal,VERB NOUN,VBN NN,amod ROOT,2,0
7413,creating table,info,1.0,create table,VERB NOUN,VBG NN,compound ROOT,2,0
7424,disabling table,info,1.0,disable table,VERB NOUN,VBG NN,amod ROOT,2,0
7425,enabling table,info,1.0,enable table,VERB NOUN,VBG NN,amod ROOT,2,0
7427,using loadtestdatageneratorwithacl,info,1.0,use loadtestdatageneratorwithacl,VERB NOUN,VBG NN,ROOT dobj,2,1
7440,received exception,info,1.0,receive exception,VERB NOUN,VBN NN,ROOT dobj,2,0
7454,start dotestthriftmetrics,info,1.0,start dotestthriftmetrics,VERB NOUN,VB NN,ROOT dobj,2,0
7468,created jar,info,1.0,create jar,VERB NOUN,VBN NN,amod ROOT,2,0
7499,running ingest,info,1.0,run ingest,VERB NOUN,VBG NN,compound ROOT,2,0
